name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country
Volvic Volcanic Mineral Water PET 500ml,0,VND,"""SUITABLE FOR: Conferences, office meetings, formal receptions, events, or hand-held, travel, school, office, sports, and other occasions that require the use of lightweight, easy-to-handle products.
 PRODUCT INFORMATION: Volvic is a natural mineral water formed from deep inside the volcanic moutain located in the heart of France and has been purified for 5 years through 6 geological layers of the volcano. Unique flavor with high silica content, which is essential for bones, hair, skin and nails""",,,,France
Volvic Volcanic Mineral Water PET (1.5L),0,VND,"""SUITABLE FOR: picnics, travel, daily hydration at home, at school, work, and activities that use large amounts of water
 PRODUCT INFORMATION: Volvic is a natural mineral water formed from deep inside the volcanic moutain located in the heart of France and has been purified for 5 years through 6 geological layers of the volcano. Unique flavor with high silica content, which is essential for bones, hair, skin and nails""",,,,France
Evian Natural Mineral Water Glass 750ml,72000,VND,100% natural mineral water,,,,
Evian Water PET Water (500ml),33000,VND,"""SUITABLE FOR: Conferences, office meetings, formal receptions, events, or hand-held, travel, school, office, sports, and other occasions that require the use of lightweight, easy-to-handle products.
 PRODUCT INFORMATION: Evian is a premium natural water filtered over 15 years in the French Alps, with a neutral pH (7.2), with unique and natural ingredients, suitable for all people of all ages. The product is 100% exploited, bottled and imported from one single source in France and is always committed to provide consumers with the same quality throughout the world""",,,,France
Evian Sport Cap (750ml),67000,VND,"""SUITABLE FOR: sports activities
 PRODUCT INFORMATION: Evian is a premium natural water filtered over 15 years in the French Alps, with a neutral pH (7.2), with unique and natural ingredients, suitable for all people of all ages. The product is 100% exploited, bottled and imported from one single source in France and is always committed to provide consumers with the same quality throughout the world""",,,,France
7Up Zero Sugar Pet (1.5L),0,VND,"Diet 7UP is now 7UP Zero Sugar! The light crisp, iconic flavor of 7UP Lemon Lime Zero Sugar soda offers a unique, balanced taste that will leave you feeling refreshed. ... Now known simply as 7UP, it's caffeine-free, low in sodium, and delivers great-tasting lemon lime flavor with zero sugar.",,,,
Canada Dry Ginger Ale Pet (1.5L),0,VND,"Without a doubt your favorite drink! Enjoy the intense flavor of Ginger Ale in all its versions; classic, light and zero. Perfect to take it the way you prefer.",,,,Canada
Pietra Beer 6% Bottle (330ml),0,VND,"Pietra is a handcrafted beer from the island of Corsica. It’s brewed with a blend of selected malts and chestnut flour. Chestnuts are a traditional fruits in Corsica, handpicked in the Castagniccia mountain. This unique blend in the world gives Pietra an exceptional personality.",,,,Pietra
Tuborg Skoll Beer 6% Can (500ml),0,VND,"Tuborg Green is a bottom-fermented lager beer. It's brewed on lager malt, a slightly roasted, bright type of malt which results in the well-known mild, fresh taste and aroma of flowers and grain.",,,,
Jenlain Ambrée Beer 7.5% Can (500ml),0,VND,The beer presents a mix of autumnal flower and lightly toasted malt notes to give a beer fit for connoisseurs.,,,,
Budweiser Beer 5% Can (500ml),0,VND,Excellent quality consistent for 143 years and available in over 80 countries,,,,
Old Jamaica Light Ginger Beer Can (330ml),0,VND,Carbonated Ginger Beer Flavour Soft Drink with Sugar and Sweetener.,,,,Jamaica
Itoen Oi Ocha Green Tea (500ml),0,VND,"Revive yourself the Japanese way with a bottle of Itoen Ooi Ocha Unsweetened Green Tea. This Japanese green tea has a delicate, fresh flavour with just a hint of refreshing bitterness. This tea is enjoyed by millions of Japanese people every day and is a winner among lovers of unsweetened drinks. This tea is best enjoyed chilled, with or without ice.",,,,
Itoen Oi Ocha Green Tea With Roasted Rice (500ml),0,VND,"Enjoy the flavour benefits of two different types of green tea with Itoen's ready-to-drink genmaicha with added matcha. Genmaicha is a nutty, soothing, almost savoury tea, made by combining green tea leaves with kernels of roasted brown rice. Matcha green tea powder, on the other hand, boasts a refreshing, leafy taste and aroma.",,,,
Hakatakaju Orange Juice Mikan (500ml),0,VND,"Our juice uses generous amounts of pure, perfectly ripe mandarin oranges. Both the delicate sweetness and mellow sour of the oranges are preserved, creating a smooth, refreshing finish. Children and older people alike will love how easy it is to drink, even for those of us who don't normally enjoy juice.",,,,
Hakatakaju Orange Juice Mikan (1L),0,VND,"Our juice uses generous amounts of pure, perfectly ripe mandarin oranges. Both the delicate sweetness and mellow sour of the oranges are preserved, creating a smooth, refreshing finish. Children and older people alike will love how easy it is to drink, even for those of us who don't normally enjoy juice.",,,,
St Stefanus Beer 7% Bottle (330ml),0,VND,"Known simply as 'Augustijn' within Belgium and St Stefanus Blonde Beer (7% ABV, 330ml bottle) elsewhere, this blonde ale from Van Steenberge Brewery is matured in the brewery for up to two years and continues to do so in the bottle. Open it young for a fruity flavour, or let it age for a more complex and aromatic experience.",,,,Belgium
Delirium Tremens Beer 8.5% Bottle (330ml),0,VND,"The particular character and the unique taste of ""Delirium Tremens"" result from the use of three different kinds of yeast. Its very original packing, which resembles cologne ceramics, and the colourful label contribute to its success.",,,,
Westmalle Triple Beer 9% Bottle 330ml,0,VND,"An exceptional beer, with a great deal of finesse and elegance. And with a splendid long aftertaste.",,,,
DESPERADOS Beer PK 5.9% from France (330ml),0,VND,"Desperados PK 5.9% (330ml) is a unique beer with the world’s first Tequila flavor, blending refreshing beer with the bold spiciness of Tequila. It offers a sweet, balanced experience of sour and spicy flavors. Perfect for any celebration, Desperados is the ideal choice to elevate your party atmosphere.",,,,France
Val de Rance L'Authentique Dry Cider 4.5% (330ml),0,VND,L'Authentique Dry cider is a well balanced cider with natural aromas of ripe apples. Strong notes of bittersweet apples wih medium sweetness from the natural sugars of apples.,,,,
Val de Rance Ginger/Lemon Cider 4.5% Bottle (330ml),0,VND,"Naturally sweet with sugars contains in the fruits. Well balanced mix between ginger, lemon & apple.",,,,
Val de Rance Pear Cider 4.5% Bottle (330ml),0,VND,Round and sweet in mouth with medium acidity. Naturally acidulated with sugars contains in the fruits.,,,,
CocaCola Zero Bottle (1.5L),20000,VND,"Coca Cola Zero makes the body feel lighter, eats better, no sugar, no calories, suitable for those who love soft drinks but still want to keep healthy eating habits.",,,,
Fanta Bottle (1.5L),0,VND,"Fanta soft drink helps to quench thirst after outdoor activities, relieve stress and fatigue when studying and working. Fanta soft drink with sassafras flavor 1.5 liter bottle stimulates the taste buds, providing energy for the body.",,,,
Schweppes Soda Dry Ginger Ale Can (320ml),11000,VND,"Schweppes uses flavors extracted from nature, a separate formula combines mildly spicy ginger, carbonated soft drinks with a strong taste to bring a feeling of refreshment. Schweppes Dry Ginger Ale Soda Drink 320ml can be used immediately or used to prepare attractive drinks",,,,
Minute Maid Teppy Orange Bottle (327ml),0,VND,"Teppy orange juice 327ml is extracted from succulent oranges along with naturally attractive fresh orange cloves. And produced according to modern technology, no harmful substances do not affect the health of consumers.",,,,
Dasani Bottle (350ml),4000,VND,"Dasani Purified Water is sterilized with optimal technology, ensuring a clean source of water and good for the health of consumers.
Dasani bottled water is produced from groundwater, through reverse osmosis system and sterilization by ozone, ensuring purity in every drop of water. The product has a natural cool sweet taste, giving instant refreshing feeling",,,,
Dasani Mineral Water Bottle (510ml),6000,VND,"Dasani Purified Water is sterilized with optimal technology, ensuring a clean source of water and good for the health of consumers.
Dasani bottled water is produced from groundwater, through reverse osmosis system and sterilization by ozone, ensuring purity in every drop of water. The product has a natural cool sweet taste, giving instant refreshing feeling",,,,
Aquarius Water bottle (390ml),8000,VND,Aquarius Isotonic Water bottle (390ml),,,,
East West East West Pale Ale Beer Bottle (330ml),51000,VND,"With inspirations from both sides of the world, our award-winning flagship East West Pale Ale provides a perfect balance of malts with hops. This delightfully crisp and handcrafted ale is the toast of Saigon.",,,,West
East West Far East IPA Beer Bottle (330ml),51000,VND,"This full-bodied India Pale Ale is loaded with malt, hops, and yeast from all over the world. Our award-winning Far East IPA provides a beautiful inter-pacific aroma that is enjoyable all year round.",,,,India
East West Summer Hefe Weizen Beer Bottle (330ml),0,VND,"Our award-winning Summer Hefeweizen delivers a bold, refreshing, clean flavor and expressive aroma that is perfect for Vietnam’s warm climate",,,,West
East West Modern Belgian Dark Beer Bottle 8.1% (500ml),90000,VND,"Our award-winning Modern Belgian Dark takes on a traditional approach with a dose of local ingredients. Complex with rich malts that delivers strong aromas of caramel and baked bread, with a hint of spiciness. We switched out the traditional use of Belgian candy for local Vietnamese palm sugar to give a vanilla and toffee depth.",,,,West
