name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country,quantity_value,quantity_unit
Evian Sport Cap (750ml),67000,VND,"""SUITABLE FOR: sports activities
 PRODUCT INFORMATION: Evian is a premium natural water filtered over 15 years in the French Alps, with a neutral pH (7.2), with unique and natural ingredients, suitable for all people of all ages. The product is 100% exploited, bottled and imported from one single source in France and is always committed to provide consumers with the same quality throughout the world""","100% natural mineral water - Nutritional ingredients: Mineral composition (mg/L): Calcium Ca++ 80, Bicarbonates HCO3- 360, Magnesium Mg++ 26, Sulphates SO4-- 14, Chlorides Cl- 10, Silica SiO2 15, Potassium K+ 1, Sodium Na+ 6,5, Nitrates NO3- 3,8, Fluorides F- 0,06. Total dissolved solids (180℃) 345 mg/L - pH 5,5",Drink directly to quench your thirst - Warning: Do not use the product after the expiry date,"Store in a cool, dry place, away from direct sunlight",France,750,ml
Evian Natural Mineral Water Glass 750ml,72000,VND,"""SUITABLE FOR: formal receptions, events, seminars, office meetings, restaurants, coffee shops, hotels.
 PRODUCT INFORMATION: Evian is a premium natural water filtered over 15 years in the French Alps, with a neutral pH (7.2), with unique and natural ingredients, suitable for all people of all ages. The product is 100% exploited, bottled and imported from one single source in France and is always committed to provide consumers with the same quality throughout the world""","100% natural mineral water - Nutritional ingredients: Mineral composition (mg/L): Calcium Ca++ 80, Bicarbonates HCO3- 360, Magnesium Mg++ 26, Sulphates SO4-- 14, Chlorides Cl- 10, Silica SiO2 15, Potassium K+ 1, Sodium Na+ 6,5, Nitrates NO3- 3,8, Fluorides F- 0,06. Total dissolved solids (180℃) 345 mg/L - pH 5,5",Drink directly to quench your thirst - Warning: Do not use the product after the expiry date,"Store in a cool, dry place, away from direct sunlight",France,750,ml
Evian Water PET Water (500ml),33000,VND,"""SUITABLE FOR: Conferences, office meetings, formal receptions, events, or hand-held, travel, school, office, sports, and other occasions that require the use of lightweight, easy-to-handle products.
 PRODUCT INFORMATION: Evian is a premium natural water filtered over 15 years in the French Alps, with a neutral pH (7.2), with unique and natural ingredients, suitable for all people of all ages. The product is 100% exploited, bottled and imported from one single source in France and is always committed to provide consumers with the same quality throughout the world""","100% natural mineral water - Nutritional ingredients: Mineral composition (mg/L): Calcium Ca++ 80, Bicarbonates HCO3- 360, Magnesium Mg++ 26, Sulphates SO4-- 14, Chlorides Cl- 10, Silica SiO2 15, Potassium K+ 1, Sodium Na+ 6,5, Nitrates NO3- 3,8, Fluorides F- 0,06. Total dissolved solids (180℃) 345 mg/L - pH 5,5",Drink directly to quench your thirst - Warning information: Do not use the product after the expiry date,"Store in a cool, dry place, away from direct sunlight",France,500,ml
Volvic Volcanic Mineral Water PET (1.5L),0,VND,"""SUITABLE FOR: picnics, travel, daily hydration at home, at school, work, and activities that use large amounts of water
 PRODUCT INFORMATION: Volvic is a natural mineral water formed from deep inside the volcanic moutain located in the heart of France and has been purified for 5 years through 6 geological layers of the volcano. Unique flavor with high silica content, which is essential for bones, hair, skin and nails""","100% natural mineral water - Nutritional ingredients: Energy 0 kcal, Protein 0 g, Fat 0 g, Saturated fat 0 g, Trans Fat 0 g, Carbohydrate 0 g, Sugar 0 g, Sodium 1,16 mg",Drink directly to quench your thirst - Warning: Do not use the product after the expiry date,"Store in a cool, dry place, away from direct sunlight",France,1.5,L
Volvic Volcanic Mineral Water PET 500ml,0,VND,"""SUITABLE FOR: Conferences, office meetings, formal receptions, events, or hand-held, travel, school, office, sports, and other occasions that require the use of lightweight, easy-to-handle products.
 PRODUCT INFORMATION: Volvic is a natural mineral water formed from deep inside the volcanic moutain located in the heart of France and has been purified for 5 years through 6 geological layers of the volcano. Unique flavor with high silica content, which is essential for bones, hair, skin and nails""","100% natural mineral water - Nutritional ingredients: Energy 0 kcal, Protein 0 g, Fat 0 g, Saturated fat 0 g, Trans Fat 0 g, Carbohydrate 0 g, Sugar 0 g, Sodium 1,16 mg",Drink directly to quench your thirst - Warning: Do not use the product after the expiry date,"Store in a cool, dry place, away from direct sunlight",France,500,ml
Canada Dry Ginger Ale Pet (1.5L),0,VND,"Without a doubt your favorite drink! Enjoy the intense flavor of Ginger Ale in all its versions; classic, light and zero. Perfect to take it the way you prefer.","Carbonated water, Sugar, citric acid, Natural flavoring, Sodium benzoate, Caramel color","Fill mixer glass with ice, vodka, syrup, and juice. Shake vigorously and pour into your favorite lowball glass with cubed whiskey ice. Top with Canada Dry Ginger Ale and fresh blackberries.","Store in a clean ,dry and cool place",Canada,1.5,L
Tuborg Skoll Beer 6% Can (500ml),0,VND,"Tuborg Skøll a refreshing aromatised beer with a perfect combination of vodka and fruits. It has a bright golden colour, mild sparkes and a white head. The aroma is fruity and dominated by citrus. The taste is characterised by green lemon and grapefruit, a well-balanced mix of vodka, sweetness and tartness with a slight bitterness in the aftertaste.","Water, barley malt, glucose syrup, wheat, sugar, Vodka-argume flavor (including 84.5% Vodka), acidifier: citric acid, color: caramel E150c, hop extract.","pairs perfectly with all the things you love: BBQ, a concert, a party, a great night out and of course, your friends. Enjoy at 5-8 oC.",store in a cool place,,500,ml
7Up Zero Sugar Pet (1.5L),0,VND,"Diet 7UP is now 7UP Zero Sugar! The light crisp, iconic flavor of 7UP Lemon Lime Zero Sugar soda offers a unique, balanced taste that will leave you feeling refreshed. ... Now known simply as 7UP, it's caffeine-free, low in sodium, and delivers great-tasting lemon lime flavor with zero sugar.","Filtered Carbonated Water, Citric Acid, Potassium Citrate, Potassium Benzoate (Preservative), Aspartame, Acesulfame Potassium, Natural Flavors, Calcium Disodium Edta (To Protect Flavor)","Use it as the secret ingredient to liven up any meal or recipe. You can enjoy 7UP Zero Sugar in everything from your favorite cocktails* and mocktails to grilling marinades and delicious desserts like our famous 7UP Side Down Cake. 7UP Zero Sugar is also the perfect pairing for any occasion with all your favorite foods. Over 21 only, please drink responsibly.",Store away from sunlight in a dry and temperate place.,,1.5,L
Pietra Beer 6% Bottle (330ml),0,VND,"Pietra is a handcrafted beer from the island of Corsica. It’s brewed with a blend of selected malts and chestnut flour. Chestnuts are a traditional fruits in Corsica, handpicked in the Castagniccia mountain. This unique blend in the world gives Pietra an exceptional personality.","Water, barley malt, chestnut flour, hops, brewer's yeast, antioxidant (e220). Alcohol: 6% vol.","Best served chilled.Suggested food matches: charcuterie, especially Corsican charcuterie, pâté, sauce recipes.",Stored in a dry and cool place away from sunlight,Pietra,330,ml
Jenlain Ambrée Beer 7.5% Can (500ml),0,VND,"Jenlain Ambrée is brewed according to Brasserie Duyck’s finest traditions, using all of its savoir-faire gained over five generations.",Water Malt Malt Roasted Glucose Hops Yeasts,ideal for cooking or as an accompaniment for stews and characterful cheeses.,"Store in a cool, dry place.",,500,ml
Old Jamaica Light Ginger Beer Can (330ml),0,VND,"Established in 1988, Old Jamaica Ginger Beer is a genuine Jamaican brand, made from the potent and flavourful roots of ginger. A sip of Old Jamaica Ginger Beer embodies the same natural flavours that Grandma would infuse in her homemade Ginger Beer, Drops, Cakes and Cookies. It is as amazingly refreshing and crisp as it is unique and original!","Carbonated Water, Sugar, Acid (Citric Acid), Flavourings (Including Ginger Root Extract), Stabiliser (Gum Arabic), Acidity Regulator (Sodium Citrates), Preservative (Sodium Benzoate), Sweetener (Sucralose)",Best Served Chilled.,Store away from direct light in a cool & dry place,Jamaica,330,ml
Budweiser Beer 5% Can (500ml),0,VND,Excellent quality consistent for 143 years and available in over 80 countries,"Water, malt, rice and hop",Best served chilled,"Storage in dry cool place avoiding direct sunlight, excessive heat and freezing",,500,ml
Itoen Oi Ocha Green Tea (500ml),0,VND,"Revive yourself the Japanese way with a bottle of Itoen Ooi Ocha Unsweetened Green Tea. This Japanese green tea has a delicate, fresh flavour with just a hint of refreshing bitterness. This tea is enjoyed by millions of Japanese people every day and is a winner among lovers of unsweetened drinks. This tea is best enjoyed chilled, with or without ice.","Water, Whole Green Tea Leaves, Antioxidant (300), Acidity Regulator (500)","This tea is enjoyed by millions of Japanese people every day and is a winner among lovers of unsweetened drinks. This tea is best enjoyed chilled, with or without ice.","Keep away from direct sunshine, store in room temperature",,500,ml
Itoen Oi Ocha Green Tea With Roasted Rice (500ml),0,VND,"Enjoy the flavour benefits of two different types of green tea with Itoen's ready-to-drink genmaicha with added matcha. Genmaicha is a nutty, soothing, almost savoury tea, made by combining green tea leaves with kernels of roasted brown rice. Matcha green tea powder, on the other hand, boasts a refreshing, leafy taste and aroma.","Purified Water, Roasted Rice, Green Tea, Barley, Corn, Ascorbic Acid (Vitamin C), Adlay, Matcha.",ready-to-drink genmaicha with added matcha.,"Keep in dry, cool place and avoid direct sunlight","Green Tea, Barley",500,ml
Hakatakaju Orange Juice Mikan (1L),0,VND,"Our juice uses generous amounts of pure, perfectly ripe mandarin oranges. Both the delicate sweetness and mellow sour of the oranges are preserved, creating a smooth, refreshing finish. Children and older people alike will love how easy it is to drink, even for those of us who don't normally enjoy juice.",100% Pure Fruit Juice,Please enjoy this product chilled.,Avoid direct sunlight and hot and humid places and save.,,1,L
Hakatakaju Orange Juice Mikan (500ml),0,VND,"Our juice uses generous amounts of pure, perfectly ripe mandarin oranges. Both the delicate sweetness and mellow sour of the oranges are preserved, creating a smooth, refreshing finish. Children and older people alike will love how easy it is to drink, even for those of us who don't normally enjoy juice.",100% Pure Fruit Juice,Please enjoy this product chilled.,Avoid direct sunlight and hot and humid places and save.,,500,ml
St Stefanus Beer 7% Bottle (330ml),0,VND,"Known simply as 'Augustijn' within Belgium and St Stefanus Blonde Beer (7% ABV, 330ml bottle) elsewhere, this blonde ale from Van Steenberge Brewery is matured in the brewery for up to two years and continues to do so in the bottle. Open it young for a fruity flavour, or let it age for a more complex and aromatic experience.","Water, Barley Malt, Rice, Yeast, Hops",Suitable for vegetarians. The UK Chief Medical Officers recommend adults do not regularly drink more than 14 units per week,"Store in a cool, dry place.",Belgium,330,ml
Delirium Tremens Beer 8.5% Bottle (330ml),0,VND,"The particular character and the unique taste of ""Delirium Tremens"" result from the use of three different kinds of yeast. Its very original packing, which resembles cologne ceramics, and the colourful label contribute to its success.","Barley Malt, Hops, Yeast","Beer brewed carefully, to be consumed with care","Store in a cool, dry place.",,330,ml
Westmalle Triple Beer 9% Bottle 330ml,0,VND,"Westmalle Tripel is a clear, golden yellow trappist beer that undergoes a secondary fermentation in the bottle (9,5% alcohol).It is a complex beer with a fruity aroma and a nice nuanced hop scent.It is soft and creamy in the mouth, with a bitter touch carried by the fruity aroma.","Water, barley, malt, yeast, hops, sugar.",an excellent fit with strawberries and dry-aged beef and an ideal pairing with fish.,"Store in a cool, dry place.",,330,ml
Val de Rance L'Authentique Dry Cider 4.5% (330ml),0,VND,"Limpid with orange gold color in the glass. This original Dry French Cider is a well balanced cider with natural aromas of ripe apples. Strong notes of bittersweet apples wih medium sweetness from the natural sugars of apples. This cider will accompany grilled seafood, meats on barbecue,spicy curry or salads. Perfect also just on it’s own relaxing with friends.","French cider, antioxidant: potassium bi-disulfite, gluten free, contains natural sugars from fruits","Delicious paired with a sandwich, a salad or a pastry, Val de France beverages are a great alternative for consumers who like non-alcoholic drinks. Enjoy them year round!","Store in cool and dry place, away from sunlight.",,330,ml
