name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country,category,quantity_value,quantity_unit,url
AB TrailMix Berry Boost Bag (28g),30000,VND,"AB Trail Mix 2-Compartment Snack is a perfect combination of 5 types of premium nutritious nuts, natural dried fruits, and freeze-dried yogurt, providing a healthy source of energy, supporting digestion, and effectively aiding muscle recovery.
Responsible Organization: Huynh Gia Agricultural Joint Stock Company.
Address: 80/2 Yen The Street, Tan Son Hoa Ward, Ho Chi Minh City","Ingredients: 5 Nutritional Nuts (Cashews, Almonds, Walnuts, Macadamia, Pumpkin Seeds) combined with Dried Fruits and Freeze-Dried Yogurt.","Usage instructions: Use directly before, during, or after exercise; replace a snack or healthy meal.","Usage instructions: Use directly before, during, or after exercise; replace a snack or healthy meal.",Ho Chi Minh,MIX NUTS,28,g,https://shop.annam-gourmet.com/hcm-taka/ab-trailmix-berry-boost-bag-28g.html
AB TrailMix Tropical Fuel Bag (28g),30000,VND,"AB Trail Mix 2-Compartment Snack is a perfect combination of 5 types of premium nutritious nuts, natural dried fruits, and freeze-dried yogurt, providing a healthy source of energy, supporting digestion, and effectively aiding muscle recovery.
Responsible Organization: Huynh Gia Agricultural Joint Stock Company.
Address: 80/2 Yen The Street, Tan Son Hoa Ward, Ho Chi Minh City","Ingredients: 5 Nutritional Nuts (Cashews, Almonds, Walnuts, Macadamia, Pumpkin Seeds) combined with Dried Fruits and Freeze-Dried Yogurt.","Usage instructions: Use directly before, during, or after exercise; replace a snack or healthy meal.","Usage instructions: Use directly before, during, or after exercise; replace a snack or healthy meal.",Ho Chi Minh,MIX NUTS,28,g,https://shop.annam-gourmet.com/hcm-taka/ab-trailmix-tropical-fuel-bag-28g.html
AFC Vegetable Cracker  200g,27000,VND,"AFC is a CRUNCHY AND NUTRITIOUS crackers brand that’s healthy and tasty, providing the perfect nourishing snacking choice throughout the day.

AFC crackers are made of wholesome ingredients combine with fiber from oats and high calcium content. AFC will not only give you an enjoyable snacking experience but also supply your body with essential nutrients.

AFC - Eat Good, Feel Good.","Wheat flour, vegetable oil (palm), sugar, oat fiber (4%), maltose syrup, whey powder, leavening agents (503(ii), 500(ii), butter oil substitute, salt, onion powder, calcium carbonate (170(i)), artificial fried onion flavour, dried onion, cheese powder yeast, acidity regulator (450(i), flour treatment agents (223, 1101(i)), artificial food coloring (160a)",Use directly,To store in a cool place away from sunlight,,SALTED CRACKERS,200,g,https://shop.annam-gourmet.com/hcm-taka/afc-vegetable-cracker-200g.html
AFC Wheat Cracker  200g,28000,VND,"AFC is a CRUNCHY AND NUTRITIOUS crackers brand that’s healthy and tasty, providing the perfect nourishing snacking choice throughout the day.

AFC crackers are made of wholesome ingredients combine with fiber from oats and high calcium content. AFC will not only give you an enjoyable snacking experience but also supply your body with essential nutrients.

AFC - Eat Good, Feel Good.","Wheat flour, vegetable oil (palm), sugar, oat fiber (4%), whey powder, maltose syrup, leavening agents (503(ii), 500(ii), butter oil substitute, salt, calcium carbonate (170(i)), cheese powder yeast, acidity regulator (450(i), flour treatment agents (223, 1101(i)), artificial food coloring (160a)",Use directly,To store in a cool place away from sunlight,,SALTED CRACKERS,200,g,https://shop.annam-gourmet.com/hcm-taka/afc-wheat-cracker-200g.html
AG Signature Coffee Mountain Arabica Espresso (250g),169000,VND,"The combination of special roasting method and premium coffee beans, bringing 100% pure coffee flavor to help bring a new dynamic and effective day at work.",Arabica Coffee Beans,Better when it is hot,Store at room temperature,,BULK COFFEE,250,g,https://shop.annam-gourmet.com/hcm-taka/ag-signature-coffee-mountain-arabica-espresso-250g.html
Allen's Candy Frogs Alive 190G,116000,VND,"Allen's Frogs Alive are delicious chewy raspberry jellies and a popular favorite. Catch these vibrant red frogs before they jump. Twist, stretch, squeeze, flatten or flatten it before enjoying a whiff of fruity fun. Use them for your next baking decoration, or enjoy them straight out of the bag.","Glucose Syrup (Wheat Or Corn), Cane Sugar, Thickener (Dextrin Roasted Starch, Acid Treated Starch Or Starch Acetate) (Wheat), Gelatine Food Acid (Citric), Color (Carminic Acid), Flavor.","Twist, stretch, squeeze, flatten or flatten it before enjoying a whiff of fruity fun. Use them for your next baking decoration, or enjoy them straight out of the bag.","Store in a cool, dry place.",,JELLY CANDIES,190,g,https://shop.annam-gourmet.com/hcm-taka/allen-s-candy-frogs-alive-190g.html
Allen's Candy Killer Pythons (192g),116000,VND,"Create smiles with deliciously soft and juicy Killer Pythons, the perfect fun sized treat. Stretch one, twist one or tie your two favorite flavors together then bite their squishy heads off and enjoy the burst of juicy flavors. Enjoy the yummy flavor of juicy orange, crisp apple, tasty pineapple, luscious mixed berry and zesty strawberry.","Glucose Syrup (Wheat or Corn), Cane Sugar, Thickener (Dextrin Roasted Starch, Acid treated Starch or Starch acetate) (Wheat), Gelatine, Food Acid (Citric), Flavours, Colours (Black Carrot, Carminic Acid, Paprika Oleoresin, Copper Chlorophyllin, Turmeric, Vegetable Carbon).","Stretch one, twist one or tie your two favorite flavors together then bite their squishy heads off and enjoy the burst of juicy flavors.",Store away from heat and humidity.,Starch,JELLY CANDIES,192,g,https://shop.annam-gourmet.com/hcm-taka/allen-s-candy-killer-pythons-192g.html
Allen's Candy Minties 150G,116000,VND,Refreshing mint chew that comes individually wrapped each representing a Minties moment. Are you ashamed? Are you embarrassed? It's definitely times like these that Minties need.,"Glucose Syrup (From Corn), Cane Sugar, Gelatine, Peppermint Oil, Vegetable Oils. Made In New Zealand From Local And Imported Ingredients. No Artificial Colours. May Contain Egg.",Contains no artificial colours so are great to share with family and friends. May contain Egg. Allen's makes smiles!,"Store in a cool, dry place.",New Zealand,SOFT CANDIES,150,g,https://shop.annam-gourmet.com/hcm-taka/allen-s-candy-minties-150g.html
Allen's Candy Pineapples (170G),116000,VND,"Create smiles by treating your tastebuds to juicy Allen’s Pineapples. Squish each soft pineapple flavoured jelly between your fingers, stretch it, bite the top off or just enjoy it in one yummy bite","Glucose Syrup (Wheat or Corn), Cane Sugar, Thickener (Dextrin Roasted Starch, Acid Treated Starch or Starch Acetate) (Wheat), Gelatine, Food Acid (Citric), Flavours, Colours (Tumeric, Copper Chlorophyllin, Carminic Acid).","Squish each deliciously soft pineapple flavoured jelly between your fingers, stretch it, bite the top off or just enjoy it in one yummy bite.","Store in a cool, dry place.",Starch Acetate,JELLY CANDIES,170,g,https://shop.annam-gourmet.com/hcm-taka/allen-s-candy-pineapples-170g.html
Allen's Candy Ripe Raspberries (190g),116000,VND,"Allen Ripe raspberries are the perfect size to treat little hands. Soft and shiny, these tasty, vibrant red raspberries are ready to be squared, stretched, eaten now, or used for baking decoration. But whatever the fun, eat these mini minced-size candies before they start blowing raspberries. 5 pieces = 1 serving. Made in Australia and does not contain artificial colors, so they are ideal to share with family and friends.","Glucose Syrup (Wheat or Corn), Cane Sugar, Thickener (Dextrin Roasted Starch, Acid treated Starch or Starch acetate) (Wheat), Gelatine, Food Acid (Citric), Colour (Carminic Acid), Flavour",Create smiles by treating your taste to Allen's raspberry woods. Apply each soft raspberry jelly between your fingers and put one in your mouth.,Store away from heat and humidity.,Australia,JELLY CANDIES,190,g,https://shop.annam-gourmet.com/hcm-taka/allen-s-candy-ripe-raspberries-190g.html
